cosmological_length_over_M,observer,category,setting,D1_over_M,difference_from_primary_over_M
80,r8M,window,primary,0.06720111630002279,0.0
80,r8M,window,inset_0p5M,0.06725346755341377,5.23512533909809e-05
80,r8M,window,expanded_0p5M,0.06713376034339902,6.735595662377136e-05
80,r8M,window,shift_left_0p5M,0.06715984223219351,4.127406782927778e-05
80,r8M,window,shift_right_0p5M,0.06718602473286595,1.5091567156844121e-05
80,r8M,estimator,matched_template_vs_analytic_envelope,0.06720111630002279,0.0024962353756805555
80,r12M,window,primary,0.06356589311634053,0.0
80,r12M,window,inset_0p5M,0.0636004481670085,3.4555050667961495e-05
80,r12M,window,expanded_0p5M,0.06351934774638579,4.6545369954742455e-05
80,r12M,window,shift_left_0p5M,0.06358995345246399,2.4060336123454817e-05
80,r12M,window,shift_right_0p5M,0.0635477389627006,1.8154153639926562e-05
80,r12M,estimator,matched_template_vs_analytic_envelope,0.06356589311634053,0.003172194852641752
80,outer,window,primary,0.3129965883939967,0.0
80,outer,window,inset_0p5M,0.3128965250631168,0.00010006333087986263
80,outer,window,expanded_0p5M,0.313110120525657,0.00011353213166032106
80,outer,window,shift_left_0p5M,0.3139095918053094,0.0009130034113127294
80,outer,window,shift_right_0p5M,0.31241067743122386,0.0005859109627728287
80,outer,estimator,matched_template_vs_analytic_envelope,0.3129965883939967,0.014109209137437517
160,r8M,window,primary,0.016646364005833192,0.0
160,r8M,window,inset_0p5M,0.0166296073081611,1.6756697672093424e-05
160,r8M,window,expanded_0p5M,0.01664900637488742,2.642369054228766e-06
160,r8M,window,shift_left_0p5M,0.016605361526359275,4.100247947391722e-05
160,r8M,window,shift_right_0p5M,0.01666303426225113,1.6670256417938845e-05
160,r8M,estimator,matched_template_vs_analytic_envelope,0.016646364005833192,0.0008123845433978261
160,r12M,window,primary,0.015751521632854093,0.0
160,r12M,window,inset_0p5M,0.015738195671865185,1.3325960988908037e-05
160,r12M,window,expanded_0p5M,0.015757206851731098,5.685218877005127e-06
160,r12M,window,shift_left_0p5M,0.015733463579014284,1.8058053839808963e-05
160,r12M,window,shift_right_0p5M,0.015763888736966436,1.2367104112342986e-05
160,r12M,estimator,matched_template_vs_analytic_envelope,0.015751521632854093,0.0017586236763555974
160,outer,window,primary,0.14184428075645883,0.0
160,outer,window,inset_0p5M,0.1417662424426709,7.803831378794257e-05
160,outer,window,expanded_0p5M,0.14193862336891172,9.434261245289122e-05
160,outer,window,shift_left_0p5M,0.1423327944858528,0.0004885137293939579
160,outer,window,shift_right_0p5M,0.14153954465639274,0.0003047361000660942
160,outer,estimator,matched_template_vs_analytic_envelope,0.14184428075645883,0.007644300091140366
320,r8M,window,primary,0.00412123046557511,0.0
320,r8M,window,inset_0p5M,0.00410340523690067,1.7825228674439586e-05
320,r8M,window,expanded_0p5M,0.0041307922977225076,9.561832147397809e-06
320,r8M,window,shift_left_0p5M,0.004096020436708869,2.5210028866240464e-05
320,r8M,window,shift_right_0p5M,0.004135197382545641,1.3966916970531429e-05
320,r8M,estimator,matched_template_vs_analytic_envelope,0.00412123046557511,0.0003238552804525341
320,r12M,window,primary,0.003905257268318252,0.0
320,r12M,window,inset_0p5M,0.003892027537965248,1.3229730353003788e-05
320,r12M,window,expanded_0p5M,0.0039127654621538,7.508193835548127e-06
320,r12M,window,shift_left_0p5M,0.003889325186086978,1.5932082231273625e-05
320,r12M,window,shift_right_0p5M,0.003915489856940013,1.0232588621761352e-05
320,r12M,estimator,matched_template_vs_analytic_envelope,0.003905257268318252,0.0007829789761757411
320,outer,window,primary,0.06736803550965931,0.0
320,outer,window,inset_0p5M,0.06731494631263146,5.308919702784465e-05
320,outer,window,expanded_0p5M,0.06741855130358942,5.051579393011707e-05
320,outer,window,shift_left_0p5M,0.06761344789338608,0.000245412383726773
320,outer,window,shift_right_0p5M,0.06720837610539832,0.00015965940426099223
320,outer,estimator,matched_template_vs_analytic_envelope,0.06736803550965931,0.004032913792038073
640,r8M,window,primary,0.0010127530096113446,0.0
640,r8M,window,inset_0p5M,0.0010016301590631826,1.1122850548161978e-05
640,r8M,window,expanded_0p5M,0.0010195032855762065,6.750275964861885e-06
640,r8M,window,shift_left_0p5M,0.0009990682273866014,1.368478222474323e-05
640,r8M,window,shift_right_0p5M,0.0010211265576529627,8.37354804161805e-06
640,r8M,estimator,matched_template_vs_analytic_envelope,0.0010127530096113446,0.00040859185957842215
640,r12M,window,primary,0.0009620331004001059,0.0
640,r12M,window,inset_0p5M,0.0009538630557450745,8.170044655031461e-06
640,r12M,window,expanded_0p5M,0.0009672010477927984,5.16794739269244e-06
640,r12M,window,shift_left_0p5M,0.0009524340402791154,9.599060120990544e-06
640,r12M,window,shift_right_0p5M,0.000968384270905176,6.3511705050700584e-06
640,r12M,estimator,matched_template_vs_analytic_envelope,0.0009620331004001059,0.0003447411946275736
640,outer,window,primary,0.03280626554162325,0.0
640,outer,window,inset_0p5M,0.032779800181646834,2.6465359976413083e-05
640,outer,window,expanded_0p5M,0.032834016549063705,2.7751007440457442e-05
640,outer,window,shift_left_0p5M,0.032932813175950315,0.00012654763432706773
640,outer,window,shift_right_0p5M,0.03272554742455114,8.071811707210941e-05
640,outer,estimator,matched_template_vs_analytic_envelope,0.03280626554162325,0.0021079697420063326
